season,total_runs,runs_per_over,phase
2008,1.2098572266770975,7.259143360062585,Powerplay
2009,1.1110446570972887,6.666267942583732,Powerplay
2010,1.2379603399433428,7.427762039660056,Powerplay
2011,1.1262028711153178,6.757217226691907,Powerplay
2012,1.1454771526266707,6.872862915760024,Powerplay
2013,1.1053747161241483,6.63224829674489,Powerplay
2014,1.1986590038314175,7.191954022988505,Powerplay
2015,1.2246062992125983,7.34763779527559,Powerplay
2016,1.2205797657899788,7.323478594739873,Powerplay
2017,1.3069558421258305,7.8417350527549825,Powerplay
2018,1.3310185185185186,7.986111111111112,Powerplay
2019,1.2878048780487805,7.726829268292683,Powerplay
2020,1.2191151120475006,7.314690672285003,Powerplay
2021,1.2262225644974971,7.357335386984983,Powerplay
2022,1.2354402857586582,7.412641714551949,Powerplay
2023,1.36828125,8.2096875,Powerplay
2024,1.4788845905867183,8.87330754352031,Powerplay
2008,1.6737900691389063,10.042740414833437,Death Overs
2009,1.507909604519774,9.047457627118643,Death Overs
2010,1.61395101171459,9.68370607028754,Death Overs
2011,1.5450623202301055,9.270373921380633,Death Overs
2012,1.611844908393694,9.671069450362165,Death Overs
2013,1.6208209902666102,9.724925941599661,Death Overs
2014,1.687060097455333,10.122360584731997,Death Overs
2015,1.6460078168620882,9.87604690117253,Death Overs
2016,1.6816868861929521,10.090121317157713,Death Overs
2017,1.6078098471986417,9.64685908319185,Death Overs
2018,1.7247899159663866,10.34873949579832,Death Overs
2019,1.7399477806788513,10.439686684073108,Death Overs
2020,1.7231320368474923,10.338792221084955,Death Overs
2021,1.5927672955974843,9.556603773584905,Death Overs
2022,1.7426195426195425,10.455717255717255,Death Overs
2023,1.7136963696369636,10.282178217821782,Death Overs
2024,1.8115419296663662,10.869251577998197,Death Overs
